pokedex_number	name	abilities	attack	defense	speed	hp	sp_attack	sp_defense	base_total	base_egg_steps	base_happiness	weight_kg	height_m	capture_rate	classIfication	type1	type2	experience_growth	percentage_male	generation	is_legendary
19	Rattata	['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']	56	35	72	30	25	35	253	3840	70	NULL	NULL	255	Mouse 	normal	dark	1000000	50.0	1	N
20	Raticate	['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']	71	70	77	75	40	80	413	3840	70	NULL	NULL	127	Mouse 	normal	dark	1000000	50.0	1	N
21	Spearow	['Keen Eye', 'Sniper']	60	30	70	40	31	31	262	3840	70	2.0	0.3	255	Tiny Bird 	normal	flying	1000000	50.0	1	N
22	Fearow	['Keen Eye', 'Sniper']	90	65	100	65	61	61	442	3840	70	38.0	1.2	90	Beak 	normal	flying	1000000	50.0	1	N
23	Ekans	['Intimidate', 'Shed Skin', 'Unnerve']	60	44	55	35	40	54	288	5120	70	6.9	2.0	255	Snake 	poison	NULL	1000000	50.0	1	N
24	Arbok	['Intimidate', 'Shed Skin', 'Unnerve']	95	69	80	60	65	79	448	5120	70	65.0	3.5	90	Cobra 	poison	NULL	1000000	50.0	1	N
25	Pikachu	['Static', 'Lightningrod']	55	40	90	35	50	50	320	2560	70	6.0	0.4	190	Mouse 	electric	NULL	1000000	50.0	1	N
26	Raichu	['Static', 'Lightningrod', 'Surge Surfer']	85	50	110	60	95	85	485	2560	70	NULL	NULL	75	Mouse 	electric	electric	1000000	50.0	1	N
27	Sandshrew	['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']	75	90	40	50	10	35	300	5120	70	NULL	NULL	255	Mouse 	ground	ice	1000000	50.0	1	N
28	Sandslash	['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']	100	120	65	75	25	65	450	5120	70	NULL	NULL	90	Mouse 	ground	ice	1000000	50.0	1	N
29	Nidoran♀	['Poison Point', 'Rivalry', 'Hustle']	47	52	41	55	40	40	275	5120	70	7.0	0.4	235	Poison Pin 	poison	NULL	1059860	0.0	1	N
30	Nidorina	['Poison Point', 'Rivalry', 'Hustle']	62	67	56	70	55	55	365	5120	70	20.0	0.8	120	Poison Pin 	poison	NULL	1059860	0.0	1	N
31	Nidoqueen	['Poison Point', 'Rivalry', 'Sheer Force']	92	87	76	90	75	85	505	5120	70	60.0	1.3	45	Drill 	poison	ground	1059860	0.0	1	N
32	Nidoran♂	['Poison Point', 'Rivalry', 'Hustle']	57	40	50	46	40	40	273	5120	70	9.0	0.5	235	Poison Pin 	poison	NULL	1059860	100.0	1	N
33	Nidorino	['Poison Point', 'Rivalry', 'Hustle']	72	57	65	61	55	55	365	5120	70	19.5	0.9	120	Poison Pin 	poison	NULL	1059860	100.0	1	N
34	Nidoking	['Poison Point', 'Rivalry', 'Sheer Force']	102	77	85	81	85	75	505	5120	70	62.0	1.4	45	Drill 	poison	ground	1059860	100.0	1	N
35	Clefairy	['Cute Charm', 'Magic Guard', 'Friend Guard']	45	48	35	70	60	65	323	2560	140	7.5	0.6	150	Fairy 	fairy	NULL	800000	24.6	1	N
36	Clefable	['Cute Charm', 'Magic Guard', 'Unaware']	70	73	60	95	95	90	483	2560	140	40.0	1.3	25	Fairy 	fairy	NULL	800000	24.6	1	N
37	Vulpix	['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']	41	40	65	38	50	65	299	5120	70	NULL	NULL	190	Fox 	fire	ice	1000000	24.6	1	N
38	Ninetales	['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']	67	75	109	73	81	100	505	5120	70	NULL	NULL	75	Fox 	fire	ice	1000000	24.6	1	N
39	Jigglypuff	['Cute Charm', 'Competitive', 'Friend Guard']	45	20	20	115	45	25	270	2560	70	5.5	0.5	170	Balloon 	normal	fairy	800000	24.6	1	N
40	Wigglytuff	['Cute Charm', 'Competitive', 'Frisk']	70	45	45	140	85	50	435	2560	70	12.0	1.0	50	Balloon 	normal	fairy	800000	24.6	1	N
41	Zubat	['Inner Focus', 'Infiltrator']	45	35	55	40	30	40	245	3840	70	7.5	0.8	255	Bat 	poison	flying	1000000	50.0	1	N
42	Golbat	['Inner Focus', 'Infiltrator']	80	70	90	75	65	75	455	3840	70	55.0	1.6	90	Bat 	poison	flying	1000000	50.0	1	N
43	Oddish	['Chlorophyll', 'Run Away']	50	55	30	45	75	65	320	5120	70	5.4	0.5	255	Weed 	grass	poison	1059860	50.0	1	N
44	Gloom	['Chlorophyll', 'Stench']	65	70	40	60	85	75	395	5120	70	8.6	0.8	120	Weed 	grass	poison	1059860	50.0	1	N
45	Vileplume	['Chlorophyll', 'Effect Spore']	80	85	50	75	110	90	490	5120	70	18.6	1.2	45	Flower 	grass	poison	1059860	50.0	1	N
46	Paras	['Effect Spore', 'Dry Skin', 'Damp']	70	55	25	35	45	55	285	5120	70	5.4	0.3	190	Mushroom 	bug	grass	1000000	50.0	1	N
47	Parasect	['Effect Spore', 'Dry Skin', 'Damp']	95	80	30	60	60	80	405	5120	70	29.5	1.0	75	Mushroom 	bug	grass	1000000	50.0	1	N
48	Venonat	['Compoundeyes', 'Tinted Lens', 'Run Away']	55	50	45	60	40	55	305	5120	70	30.0	1.0	190	Insect 	bug	poison	1000000	50.0	1	N
49	Venomoth	['Shield Dust', 'Tinted Lens', 'Wonder Skin ']	65	60	90	70	90	75	450	5120	70	12.5	1.5	75	Poison Moth 	bug	poison	1000000	50.0	1	N
50	Diglett	['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']	55	30	90	10	35	45	265	5120	70	NULL	NULL	255	Mole 	ground	ground	1000000	50.0	1	N
51	Dugtrio	['Sand Veil', 'Arena Trap', 'Sand Force', 'Sand Veil', 'Tangling Hair', 'Sand Force']	100	60	110	35	50	70	425	5120	70	NULL	NULL	50	Mole 	ground	ground	1000000	50.0	1	N
52	Meowth	['Pickup', 'Technician', 'Unnerve', 'Pickup', 'Technician', 'Rattled']	35	35	90	40	50	40	290	5120	70	NULL	NULL	255	Scratch Cat 	normal	dark	1000000	50.0	1	N
53	Persian	['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']	60	60	115	65	75	65	440	5120	70	NULL	NULL	90	Classy Cat 	normal	dark	1000000	50.0	1	N
54	Psyduck	['Damp', 'Cloud Nine', 'Swift Swim']	52	48	55	50	65	50	320	5120	70	19.6	0.8	190	Duck 	water	NULL	1000000	50.0	1	N
55	Golduck	['Damp', 'Cloud Nine', 'Swift Swim']	82	78	85	80	95	80	500	5120	70	76.6	1.7	75	Duck 	water	NULL	1000000	50.0	1	N
56	Mankey	['Vital Spirit', 'Anger Point', 'Defiant']	80	35	70	40	35	45	305	5120	70	28.0	0.5	190	Pig Monkey 	fighting	NULL	1000000	50.0	1	N
57	Primeape	['Vital Spirit', 'Anger Point', 'Defiant']	105	60	95	65	60	70	455	5120	70	32.0	1.0	75	Pig Monkey 	fighting	NULL	1000000	50.0	1	N
58	Growlithe	['Intimidate', 'Flash Fire', 'Justified']	70	45	60	55	70	50	350	5120	70	19.0	0.7	190	Puppy 	fire	NULL	1250000	75.4	1	N
59	Arcanine	['Intimidate', 'Flash Fire', 'Justified']	110	80	95	90	100	80	555	5120	70	155.0	1.9	75	Legendary 	fire	NULL	1250000	75.4	1	N
60	Poliwag	['Water Absorb', 'Damp', 'Swift Swim']	50	40	90	40	40	40	300	5120	70	12.4	0.6	255	Tadpole 	water	NULL	1059860	50.0	1	N
61	Poliwhirl	['Water Absorb', 'Damp', 'Swift Swim']	65	65	90	65	50	50	385	5120	70	20.0	1.0	120	Tadpole 	water	NULL	1059860	50.0	1	N
62	Poliwrath	['Water Absorb', 'Damp', 'Swift Swim']	95	95	70	90	70	90	510	5120	70	54.0	1.3	45	Tadpole 	water	fighting	1059860	50.0	1	N
63	Abra	['Synchronize', 'Inner Focus', 'Magic Guard']	20	15	90	25	105	55	310	5120	70	19.5	0.9	200	Psi 	psychic	NULL	1059860	75.4	1	N
64	Kadabra	['Synchronize', 'Inner Focus', 'Magic Guard']	35	30	105	40	120	70	400	5120	70	56.5	1.3	100	Psi 	psychic	NULL	1059860	75.4	1	N
65	Alakazam	['Synchronize', 'Inner Focus', 'Magic Guard']	50	65	150	55	175	105	600	5120	70	48.0	1.5	50	Psi 	psychic	NULL	1059860	75.4	1	N
66	Machop	['Guts', 'No Guard', 'Steadfast']	80	50	35	70	35	35	305	5120	70	19.5	0.8	180	Superpower 	fighting	NULL	1059860	75.4	1	N
67	Machoke	['Guts', 'No Guard', 'Steadfast']	100	70	45	80	50	60	405	5120	70	70.5	1.5	90	Superpower 	fighting	NULL	1059860	75.4	1	N
68	Machamp	['Guts', 'No Guard', 'Steadfast']	130	80	55	90	65	85	505	5120	70	130.0	1.6	45	Superpower 	fighting	NULL	1059860	75.4	1	N
69	Bellsprout	['Chlorophyll', 'Gluttony']	75	35	40	50	70	30	300	5120	70	4.0	0.7	255	Flower 	grass	poison	1059860	50.0	1	N
70	Weepinbell	['Chlorophyll', 'Gluttony']	90	50	55	65	85	45	390	5120	70	6.4	1.0	120	Flycatcher 	grass	poison	1059860	50.0	1	N
71	Victreebel	['Chlorophyll', 'Gluttony']	105	65	70	80	100	70	490	5120	70	15.5	1.7	45	Flycatcher 	grass	poison	1059860	50.0	1	N
72	Tentacool	['Clear Body', 'Liquid Ooze', 'Rain Dish']	40	35	70	40	50	100	335	5120	70	45.5	0.9	190	Jellyfish 	water	poison	1250000	50.0	1	N
73	Tentacruel	['Clear Body', 'Liquid Ooze', 'Rain Dish']	70	65	100	80	80	120	515	5120	70	55.0	1.6	60	Jellyfish 	water	poison	1250000	50.0	1	N
74	Geodude	['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	80	100	20	40	30	30	300	3840	70	NULL	NULL	255	Rock 	rock	ground	1059860	50.0	1	N
75	Graveler	['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	95	115	35	55	45	45	390	3840	70	NULL	NULL	120	Rock 	rock	ground	1059860	50.0	1	N
76	Golem	['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']	120	130	45	80	55	65	495	3840	70	NULL	NULL	45	Megaton 	rock	ground	1059860	50.0	1	N
77	Ponyta	['Run Away', 'Flash Fire', 'Flame Body']	85	55	90	50	65	65	410	5120	70	30.0	1.0	190	Fire Horse 	fire	NULL	1000000	50.0	1	N
78	Rapidash	['Run Away', 'Flash Fire', 'Flame Body']	100	70	105	65	80	80	500	5120	70	95.0	1.7	60	Fire Horse 	fire	NULL	1000000	50.0	1	N
79	Slowpoke	['Oblivious', 'Own Tempo', 'Regenerator']	65	65	15	90	40	40	315	5120	70	36.0	1.2	190	Dopey 	water	psychic	1000000	50.0	1	N
80	Slowbro	['Oblivious', 'Own Tempo', 'Regenerator']	75	180	30	95	130	80	590	5120	70	78.5	1.6	75	Hermit Crab 	water	psychic	1000000	50.0	1	N
81	Magnemite	['Magnet Pull', 'Sturdy', 'Analytic']	35	70	45	25	95	55	325	5120	70	6.0	0.3	190	Magnet 	electric	steel	1000000	NULL	1	N
82	Magneton	['Magnet Pull', 'Sturdy', 'Analytic']	60	95	70	50	120	70	465	5120	70	60.0	1.0	60	Magnet 	electric	steel	1000000	NULL	1	N
83	Farfetch'd	['Keen Eye', 'Inner Focus', 'Defiant']	90	55	60	52	58	62	377	5120	70	15.0	0.8	45	Wild Duck 	normal	flying	1000000	50.0	1	N
84	Doduo	['Run Away', 'Early Bird', 'Tangled Feet']	85	45	75	35	35	35	310	5120	70	39.2	1.4	190	Twin Bird 	normal	flying	1000000	50.0	1	N
85	Dodrio	['Run Away', 'Early Bird', 'Tangled Feet']	110	70	110	60	60	60	470	5120	70	85.2	1.8	45	Triple Bird 	normal	flying	1000000	50.0	1	N
86	Seel	['Thick Fat', 'Hydration', 'Ice Body']	45	55	45	65	45	70	325	5120	70	90.0	1.1	190	Sea Lion 	water	NULL	1000000	50.0	1	N
87	Dewgong	['Thick Fat', 'Hydration', 'Ice Body']	70	80	70	90	70	95	475	5120	70	120.0	1.7	75	Sea Lion 	water	ice	1000000	50.0	1	N
88	Grimer	['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']	80	50	25	80	40	50	325	5120	70	NULL	NULL	190	Sludge 	poison	poison	1000000	50.0	1	N
89	Muk	['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']	105	75	50	105	65	100	500	5120	70	NULL	NULL	75	Sludge 	poison	poison	1000000	50.0	1	N
90	Shellder	['Shell Armor', 'Skill Link', 'Overcoat']	65	100	40	30	45	25	305	5120	70	4.0	0.3	190	Bivalve 	water	NULL	1250000	50.0	1	N
91	Cloyster	['Shell Armor', 'Skill Link', 'Overcoat']	95	180	70	50	85	45	525	5120	70	132.5	1.5	60	Bivalve 	water	ice	1250000	50.0	1	N
92	Gastly	['Levitate']	35	30	80	30	100	35	310	5120	70	0.1	1.3	190	Gas 	ghost	poison	1059860	50.0	1	N
93	Haunter	['Levitate']	50	45	95	45	115	55	405	5120	70	0.1	1.6	90	Gas 	ghost	poison	1059860	50.0	1	N
94	Gengar	['Cursed Body']	65	80	130	60	170	95	600	5120	70	40.5	1.5	45	Shadow 	ghost	poison	1059860	50.0	1	N
95	Onix	['Rock Head', 'Sturdy', 'Weak Armor']	45	160	70	35	30	45	385	6400	70	210.0	8.8	45	Rock Snake 	rock	ground	1000000	50.0	1	N
96	Drowzee	['Insomnia', 'Forewarn', 'Inner Focus']	48	45	42	60	43	90	328	5120	70	32.4	1.0	190	Hypnosis 	psychic	NULL	1000000	50.0	1	N
97	Hypno	['Insomnia', 'Forewarn', 'Inner Focus']	73	70	67	85	73	115	483	5120	70	75.6	1.6	75	Hypnosis 	psychic	NULL	1000000	50.0	1	N
98	Krabby	['Hyper Cutter', 'Shell Armor', 'Sheer Force']	105	90	50	30	25	25	325	5120	70	6.5	0.4	225	River Crab 	water	NULL	1000000	50.0	1	N
99	Kingler	['Hyper Cutter', 'Shell Armor', 'Sheer Force']	130	115	75	55	50	50	475	5120	70	60.0	1.3	60	Pincer 	water	NULL	1000000	50.0	1	N
100	Voltorb	['Soundproof', 'Static', 'Aftermath']	30	50	100	40	55	55	330	5120	70	10.4	0.5	190	Ball 	electric	NULL	1000000	NULL	1	N
101	Electrode	['Soundproof', 'Static', 'Aftermath']	50	70	150	60	80	80	490	5120	70	66.6	1.2	60	Ball 	electric	NULL	1000000	NULL	1	N
102	Exeggcute	['Chlorophyll', 'Harvest']	40	80	40	60	60	45	325	5120	70	2.5	0.4	90	Egg 	grass	psychic	1250000	50.0	1	N
103	Exeggutor	['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']	105	85	45	95	125	75	530	5120	70	NULL	NULL	45	Coconut 	grass	psychic	1250000	50.0	1	N
104	Cubone	['Rock Head', 'Lightningrod', 'Battle Armor']	50	95	35	50	40	50	320	5120	70	6.5	0.4	190	Lonely 	ground	NULL	1000000	50.0	1	N
105	Marowak	['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']	80	110	45	60	50	80	425	5120	70	NULL	NULL	75	Bone Keeper 	ground	fire	1000000	50.0	1	N
106	Hitmonlee	['Limber', 'Reckless', 'Unburden']	120	53	87	50	35	110	455	6400	70	49.8	1.5	45	Kicking 	fighting	NULL	1000000	100.0	1	N
107	Hitmonchan	['Keen Eye', 'Iron Fist', 'Inner Focus']	105	79	76	50	35	110	455	6400	70	50.2	1.4	45	Punching 	fighting	NULL	1000000	100.0	1	N
108	Lickitung	['Own Tempo', 'Oblivious', 'Cloud Nine']	55	75	30	90	60	75	385	5120	70	65.5	1.2	45	Licking 	normal	NULL	1000000	50.0	1	N
109	Koffing	['Levitate']	65	95	35	40	60	45	340	5120	70	1.0	0.6	190	Poison Gas 	poison	NULL	1000000	50.0	1	N
110	Weezing	['Levitate']	90	120	60	65	85	70	490	5120	70	9.5	1.2	60	Poison Gas 	poison	NULL	1000000	50.0	1	N
111	Rhyhorn	['Lightningrod', 'Rock Head', 'Reckless']	85	95	25	80	30	30	345	5120	70	115.0	1.0	120	Spikes 	ground	rock	1250000	50.0	1	N
112	Rhydon	['Lightningrod', 'Rock Head', 'Reckless']	130	120	40	105	45	45	485	5120	70	120.0	1.9	60	Drill 	ground	rock	1250000	50.0	1	N
113	Chansey	['Natural Cure', 'Serene Grace', 'Healer']	5	5	50	250	35	105	450	10240	140	34.6	1.1	30	Egg 	normal	NULL	800000	0.0	1	N
114	Tangela	['Chlorophyll', 'Leaf Guard', 'Regenerator']	55	115	60	65	100	40	435	5120	70	35.0	1.0	45	Vine 	grass	NULL	1000000	50.0	1	N
115	Kangaskhan	['Early Bird', 'Scrappy', 'Inner Focus']	125	100	100	105	60	100	590	5120	70	80.0	2.2	45	Parent 	normal	NULL	1000000	0.0	1	N
116	Horsea	['Swift Swim', 'Sniper', 'Damp']	40	70	60	30	70	25	295	5120	70	8.0	0.4	225	Dragon 	water	NULL	1000000	50.0	1	N
117	Seadra	['Poison Point', 'Sniper', 'Damp']	65	95	85	55	95	45	440	5120	70	25.0	1.2	75	Dragon 	water	NULL	1000000	50.0	1	N
118	Goldeen	['Swift Swim', 'Water Veil', 'Lightningrod']	67	60	63	45	35	50	320	5120	70	15.0	0.6	225	Goldfish 	water	NULL	1000000	50.0	1	N
119	Seaking	['Swift Swim', 'Water Veil', 'Lightningrod']	92	65	68	80	65	80	450	5120	70	39.0	1.3	60	Goldfish 	water	NULL	1000000	50.0	1	N
120	Staryu	['Illuminate', 'Natural Cure', 'Analytic']	45	55	85	30	70	55	340	5120	70	34.5	0.8	225	Starshape 	water	NULL	1250000	NULL	1	N
121	Starmie	['Illuminate', 'Natural Cure', 'Analytic']	75	85	115	60	100	85	520	5120	70	80.0	1.1	60	Mysterious 	water	psychic	1250000	NULL	1	N
122	Mr. Mime	['Soundproof', 'Filter', 'Technician']	45	65	90	40	100	120	460	6400	70	54.5	1.3	45	Barrier 	psychic	fairy	1000000	50.0	1	N
123	Scyther	['Swarm', 'Technician', 'Steadfast']	110	80	105	70	55	80	500	6400	70	56.0	1.5	45	Mantis 	bug	flying	1000000	50.0	1	N
124	Jynx	['Oblivious', 'Forewarn', 'Dry Skin']	50	35	95	65	115	95	455	6400	70	40.6	1.4	45	Humanshape 	ice	psychic	1000000	0.0	1	N
125	Electabuzz	['Static', 'Vital Spirit']	83	57	105	65	95	85	490	6400	70	30.0	1.1	45	Electric 	electric	NULL	1000000	75.4	1	N
126	Magmar	['Flame Body', 'Vital Spirit']	95	57	93	65	100	85	495	6400	70	44.5	1.3	45	Spitfire 	fire	NULL	1000000	75.4	1	N
127	Pinsir	['Hyper Cutter', 'Mold Breaker', 'Moxie']	155	120	105	65	65	90	600	6400	70	55.0	1.5	45	Stagbeetle 	bug	NULL	1250000	50.0	1	N
128	Tauros	['Intimidate', 'Anger Point', 'Sheer Force']	100	95	110	75	40	70	490	5120	70	88.4	1.4	45	Wild Bull 	normal	NULL	1250000	100.0	1	N
129	Magikarp	['Swift Swim', 'Rattled']	10	55	80	20	15	20	200	1280	70	10.0	0.9	255	Fish 	water	NULL	1250000	50.0	1	N
130	Gyarados	['Intimidate', 'Moxie']	155	109	81	95	70	130	640	1280	70	235.0	6.5	45	Atrocious 	water	flying	1250000	50.0	1	N
131	Lapras	['Water Absorb', 'Shell Armor', 'Hydration']	85	80	60	130	85	95	535	10240	70	220.0	2.5	45	Transport 	water	ice	1250000	50.0	1	N
132	Ditto	['Limber', 'Imposter']	48	48	48	48	48	48	288	5120	70	4.0	0.3	35	Transform 	normal	NULL	1000000	NULL	1	N
133	Eevee	['Run Away', 'Adaptability', 'Anticipation']	55	50	55	55	45	65	325	8960	70	6.5	0.3	45	Evolution 	normal	NULL	1000000	88.1	1	N
134	Vaporeon	['Water Absorb', 'Hydration']	65	60	65	130	110	95	525	8960	70	29.0	1.0	45	Bubble Jet 	water	NULL	1000000	88.1	1	N
135	Jolteon	['Volt Absorb', 'Quick Feet']	65	60	130	65	110	95	525	8960	70	24.5	0.8	45	Lightning 	electric	NULL	1000000	88.1	1	N
136	Flareon	['Flash Fire', 'Guts']	130	60	65	65	95	110	525	8960	70	25.0	0.9	45	Flame 	fire	NULL	1000000	88.1	1	N
137	Porygon	['Trace', 'Download', 'Analytic']	60	70	40	65	85	75	395	5120	70	36.5	0.8	45	Virtual 	normal	NULL	1000000	NULL	1	N
138	Omanyte	['Swift Swim', 'Shell Armor', 'Weak Armor']	40	100	35	35	90	55	355	7680	70	7.5	0.4	45	Spiral 	rock	water	1000000	88.1	1	N
139	Omastar	['Swift Swim', 'Shell Armor', 'Weak Armor']	60	125	55	70	115	70	495	7680	70	35.0	1.0	45	Spiral 	rock	water	1000000	88.1	1	N
140	Kabuto	['Swift Swim', 'Battle Armor', 'Weak Armor']	80	90	55	30	55	45	355	7680	70	11.5	0.5	45	Shellfish 	rock	water	1000000	88.1	1	N
141	Kabutops	['Swift Swim', 'Battle Armor', 'Weak Armor']	115	105	80	60	65	70	495	7680	70	40.5	1.3	45	Shellfish 	rock	water	1000000	88.1	1	N
142	Aerodactyl	['Rock Head', 'Pressure', 'Unnerve']	135	85	150	80	70	95	615	8960	70	59.0	1.8	45	Fossil 	rock	flying	1250000	88.1	1	N
143	Snorlax	['Immunity', 'Thick Fat', 'Gluttony']	110	65	30	160	65	110	540	10240	70	460.0	2.1	25	Sleeping 	normal	NULL	1250000	88.1	1	N
144	Articuno	['Pressure', 'Snow Cloak']	85	100	85	90	95	125	580	20480	35	55.4	1.7	3	Freeze 	ice	flying	1250000	NULL	1	Y
145	Zapdos	['Pressure', 'Static']	90	85	100	90	125	90	580	20480	35	52.6	1.6	3	Electric 	electric	flying	1250000	NULL	1	Y
146	Moltres	['Pressure', 'Flame Body']	100	90	90	90	125	85	580	20480	35	60.0	2.0	3	Flame 	fire	flying	1250000	NULL	1	Y
147	Dratini	['Shed Skin', 'Marvel Scale']	64	45	50	41	50	50	300	10240	35	3.3	1.8	45	Dragon 	dragon	NULL	1250000	50.0	1	N
148	Dragonair	['Shed Skin', 'Marvel Scale']	84	65	70	61	70	70	420	10240	35	16.5	4.0	45	Dragon 	dragon	NULL	1250000	50.0	1	N
149	Dragonite	['Inner Focus', 'Multiscale']	134	95	80	91	100	100	600	10240	35	210.0	2.2	45	Dragon 	dragon	flying	1250000	50.0	1	N
150	Mewtwo	['Pressure', 'Unnerve']	150	70	140	106	194	120	780	30720	0	122.0	2.0	3	Genetic 	psychic	NULL	1250000	NULL	1	Y
151	Mew	['Synchronize']	100	100	100	100	100	100	600	30720	100	4.0	0.4	45	New Species 	psychic	NULL	1059860	NULL	1	Y
152	Chikorita	['Overgrow', 'Leaf Guard']	49	65	45	45	49	65	318	5120	70	6.4	0.9	45	Leaf 	grass	NULL	1059860	88.1	2	N
153	Bayleef	['Overgrow', 'Leaf Guard']	62	80	60	60	63	80	405	5120	70	15.8	1.2	45	Leaf 	grass	NULL	1059860	88.1	2	N
154	Meganium	['Overgrow', 'Leaf Guard']	82	100	80	80	83	100	525	5120	70	100.5	1.8	45	Herb 	grass	NULL	1059860	88.1	2	N
155	Cyndaquil	['Blaze', 'Flash Fire']	52	43	65	39	60	50	309	5120	70	7.9	0.5	45	Fire Mouse 	fire	NULL	1059860	88.1	2	N
156	Quilava	['Blaze', 'Flash Fire']	64	58	80	58	80	65	405	5120	70	19.0	0.9	45	Volcano 	fire	NULL	1059860	88.1	2	N
157	Typhlosion	['Blaze', 'Flash Fire']	84	78	100	78	109	85	534	5120	70	79.5	1.7	45	Volcano 	fire	NULL	1059860	88.1	2	N
158	Totodile	['Torrent', 'Sheer Force']	65	64	43	50	44	48	314	5120	70	9.5	0.6	45	Big Jaw 	water	NULL	1059860	88.1	2	N
159	Croconaw	['Torrent', 'Sheer Force']	80	80	58	65	59	63	405	5120	70	25.0	1.1	45	Big Jaw 	water	NULL	1059860	88.1	2	N
160	Feraligatr	['Torrent', 'Sheer Force']	105	100	78	85	79	83	530	5120	70	88.8	2.3	45	Big Jaw 	water	NULL	1059860	88.1	2	N
161	Sentret	['Run Away', 'Keen Eye', 'Frisk']	46	34	20	35	35	45	215	3840	70	6.0	0.8	255	Scout 	normal	NULL	1000000	50.0	2	N
162	Furret	['Run Away', 'Keen Eye', 'Frisk']	76	64	90	85	45	55	415	3840	70	32.5	1.8	90	Long Body 	normal	NULL	1000000	50.0	2	N
